"Follow me on Blogger","Follow me on Blogger"
"Follow me on DeviantArt","Follow me on DeviantArt"
"Follow me on Facebook","Follow me on Facebook"
"Follow me on Flickr","Follow me on Flickr"
"Follow me on Picasa","Follow me on Picasa"
"Follow me on Twitter","Follow me on Twitter"
"Follow me on Wordpress","Follow me on Wordpress"
"Follow me on YouTube","Follow me on YouTube"
"Days","Days"
"Hours","Hours"
"Minutes","Minutes"
"Seconds","Seconds"
"Last News","Last News"
"Read More News","Read More News"
"Newsletter","Newsletter"
"Do you want to know when the site will be ready? Subscribe!","Do you want to know when the site will be ready? Subscribe!"
"Name","Name"
"Your Name","Your Name"
"Lastname","Lastname"
"Your Lastname","Your Lastname"
"Email","Email"
"Subscribe","Subscribe"
"Contact","Contact"
"Your/Company Name","Your/Company Name"
"Telephone","Telephone"
"Telephone Number","Telephone Number"
"Subject","Subject"
"Message","Message"
"Tell a Friend","Tell a Friend"
"Tell your friends how awesome this is!","Tell your friends how awesome this is!"
"Complete","Complete"
"Please Insert a Valid Email","Please Insert a Valid Email"
"Please complete this field","Please complete this field"
"Please insert a valid number","Please insert a valid number."
"Send Mail","Send Mail"
"Click here to send them an email","Click here to send them an email"
"Check this out!&amp;body=I thought you might be interested in seeing this new site:","Check this out!&amp;body=I thought you might be interested in seeing this new site:"
"Your email has been sent!","Your email has been sent!"
"A problem has occured.","A problem has occured."
"Information","Information"
"You are already subscribed to our system","You are already subscribed to our system"
"Thank you for subscribing!","Thank you for subscribing!"
"Please Complete all the fields","Please Complete all the fields"
"Read More","Read More"
"Back to Homepage","Back to Homepage"
"Posted on:","Posted on:"
"News","News"
"Load More News","Load More News"
"Your email has been removed from our mailing list.","Your email has been removed from our mailing list."
"There was a problem and the operation couldn't be completed,please contact us","There was a problem and the operation couldn't be completed,please contact us"
"Setup","Setup"
"Send Mail","Send Mail"
"Manage Subscriptions","Manage Subscriptions"
"Post News","Post News"
"Manage News","Manage News"
"Database Files Checking","Database Files Checking"
"Check Database Files","Check Database Files"
"Yes","Yes"
"No","No"
"See Frontend","See Frontend"
"Post a News","Post a News"
"Edit News","Edit News"
"News Title:","News Title:"
"News:","News:"
"Edit News","Edit News"
"Delete News","Delete News"
"Title","Title"
"Posted Date","Posted Date"
"Number","Number"
"Unsubscription","Unsubscription"
"Your email has been removed from our mailing list.","Your email has been removed from our mailing list."
"There was a problem and the operation couldn't be completed","please contact us","There was a problem and the operation couldn't be completed","please contact us"
"Export Emails to CSV","Export Emails to CSV"
"Edit Contact Information","Edit Contact Information"
"Mail:","Mail:"
"Name:","Name:"
"LastName:","LastName:"
"Added Date","Added Date"
"Proxy IP","Proxy IP"
"User IP","User IP"
"User Agent","User Agent"
"Toggle","Toggle"
"Do you want to contact all the users?","Do you want to contact all the users?"
"Sender:","Sender:"
"Object:","Object:"
"Position","Position"
"Message:","Message:"
"Use Different Footer:","Use Different Footer:"
"Delete Contact","Delete Contact"
"Edit Contact","Edit Contact"
"Delete","Delete"
"Edit","Edit"
"Current logo:","Current logo:"
"Upload a New Logo(png, jpeg, jpg, gif; max=5 MB):","Upload a New Logo(png, jpeg, jpg, gif; max=5 MB):"
"Upload New Logo","Upload New Logo"
"Meta Information","Meta Information"
"Meta Description:","Meta Description:"
"Meta Keywords:","Meta Keywords:"
"Frontend","Frontend"
"Site Title:","Site Title:"
"Finished Site Url:","Finished Site Url:"
"Use","Use"
"Site phrase:","Site phrase:"
"Time Zone:","Time Zone:"
"Starting data:","Starting data:"
"Starting hour(hh):","Starting hour(hh):"
"Starting minute (mm):","Starting minute (mm):"
"Starting second(ss):","Starting second(ss):"
"Relase date:","Relase date:"
"Relase hour (hh):","Relase hour (hh):"
"Relase minute (mm):","Relase minute (mm):"
"Relase second (ss):","Relase second (ss):"
"Complete Percent:","Complete Percent:"
"Admin email:","Admin email:"
"Show Frontend Contact Form?","Show Frontend Contact Form?"
"Show Frontend Subscribe Form?","Show Frontend Subscribe Form?"
"Show Unsubscribe Link Inside Email Footer?","Show Unsubscribe Link Inside Email Footer?"
"Server Email Restriction","Server Email Restriction"
"Number of email","Number of email"
"per (in seconds)","per (in seconds)"
"Show Frontend Clock?","Show Frontend Clock?"
"Show Frontend Progressbar?","Show Frontend Progressbar?"
"Progressbar Phrase:","Progressbar Phrase:"
"Footer Phrase:","Footer Phrase:"
"Password Change","Password Change"
"Old Password:","Old Password:"
"New Password:","New Password:"
"Repeat new Password:","Repeat new Password:"
"Social Network Link","Social Network Link"
"Common Email Section","Common Email Section"
"Footer:","Footer:"
"Completed Site Mail","Completed Site Mail"
"Do you want to alert your users once the site is finished?","Do you want to alert your users once the site is finished?"
"Cronjob String","Cronjob String"
"If you can't automatically update the Cronjob trough the php function you can try set it by your own, this is the string with the information:","If you can't automatically update the Cronjob trough the php function you can try set it by your own, this is the string with the information:"
"Update Final Message","Update Final Message"
"Update","Update"
"Update Information","Update Information"
"Update Password","Update Password"
"Set","Set"
"Save Changes","Save Changes"
"Social Network Links Saved","Social Network Links Saved"
"Final Mail Saved","Final Mail Saved"
"Password Updated","Password Updated"
"The new passwords don't correspond","The new passwords don't correspond"
"Wrong Password","Wrong Password"
"Checking Phrase:","Checking Phrase:"
"The Server is sending your Emails","The Server is sending your Emails"
"The settings have been saved","The settings have been saved"
"This is the first time,the page will be reloaded","This is the first time,the page will be reloaded"
"Your email doesn't exist in our datatabase","Your email doesn't exist in our datatabase"
"The information don't correspond,please contact us","The information don't correspond,please contact us"
"Administration","Administration"
"Manage Scheduled Mail","Manage Scheduled Mail"
"Send Later?","Send Later?"
