"Follow me on Blogger","Seguici su Blogger"
"Follow me on DeviantArt","Seguici su DeviantArt"
"Follow me on Facebook","Seguici su Facebook"
"Follow me on Flickr","Seguici su Flickr"
"Follow me on Picasa","Seguici su Picasa"
"Follow me on Twitter","Seguici su Twitter"
"Follow me on Wordpress","Seguici su Wordpress"
"Follow me on YouTube","Seguici su YouTube"
"Days","Giorni"
"Hours","Ore"
"Minutes","Minuti"
"Seconds","Secondi"
"Last News","Ultime Notizie"
"Read More News","Leggi Pi&ugrave; Notizie"
"Newsletter","Newsletter"
"Do you want to know when the site will be ready? Subscribe!","Vuoi essere il rpimo a sapere quando il sito sar&agrave; pronto? Iscriviti!"
"Name","Nome"
"Your Name","Il tuo nome"
"Lastname","Cognome"
"Your Lastname","Il tuo Cognome"
"Email","Email"
"Subscribe","Iscriviti"
"Contact","Contattaci"
"Your/Company Name","Il tuo Nome"
"Telephone","Telefono"
"Telephone Number","Numero Telefonico"
"Subject","Oggetto"
"Message","Messaggio"
"Tell a Friend","Dillo ad un Amico"
"Tell your friends how awesome this is!","Di ai tuoi amici quanto questo sito sia fantastico!"
"Complete","Completo"
"Please Insert a Valid Email","Per favore inserisci una mail valida"
"Please complete this field","Per favore completa questo campo"
"Please insert a valid number","Per favore inserisci un numero corretto."
"Send Mail","Invia Mail"
"Click here to send them an email","Clicca qui per inviargli una mail"
"Check this out!&amp;body=I thought you might be interested in seeing this new site:","Guarda qui!&amp;body=Ho pensato potessi essere interessato a dare un'occhiata a questo sito:"
"Your email has been sent!","La tua mail &egrave; stata inviata!"
"A problem has occured,please try again","Si &egrave; verificato un errore, per favore riprovare"
"A problem has occured.","Si &egrave; verificato un errore."
"Information","Informazioni"
"You are already subscribed to our system","La mail &egrave; gi&agrave; presente in archivio"
"Thank you for subscribing!","Grazie per esserti iscritto!"
"Please Complete all the fields","Per favore completare tutti i campi"
"Read More","Continua a Leggere"
"Back to Homepage","Torna alla Homepage"
"Posted on:","Publicato il:"
"News","Notizie"
"Load More News","Carica pi&ugrave; Notizie"
"Your email has been removed from our mailing list.","Your email has been removed from our mailing list."
"There was a problem and the operation couldn't be completed,please contact us","Non &egrave; stato possibile eseguire l'operazione, per favore ci contatti"
"Setup","Impostazioni"
"Send Mail","Invia Mail"
"Manage Subscriptions","Gestici Iscrizioni"
"Post News","Pubblica Notizia"
"Manage News","Gestisci Notizie"
"Database Files Checking","Controllo Database"
"Check Database Files","Controlla File Database"
"Yes","S&igrave;"
"No","No"
"See Frontend","Guarda Homepage"
"Edit News","Modifica Notizia"
"Post a News","Pubblica Notizia"
"News Title:","Titolo Notizia:"
"News:","Notizie:"
"Edit News","Modifica Notizia"
"Delete News","Elimina Notizia"
"Posted Date","Data Publicazione"
"Title","Titolo"
"Number","Numero"
"Unsubscription","Disiscrizione"
"Your email has been removed from our mailing list.","La mail &egrave; stata rimossa dal nostro database"
"There was a problem and the operation couldn't be completed","please contact us","Si &egrave; verificato un errore durante il rpocesso"," la preghiamo di contattarci"
"Export Emails to CSV","Esporta Mail in CSV"
"Edit Contact Information",""
"Mail:","Mail:"
"Name:","Nome:"
"LastName:","Cognome:"
"Added Date","Data Iscrizione"
"Proxy IP","Proxy IP"
"User IP","IP Utente"
"User Agent","User Agent"
"Toggle","Azione"
"Do you want to contact all the users?","Vuoi contattare tutti gli utenti?"
"Sender:","Mittente:"
"Object:","Oggetto:"
"Position","Posizione"
"Message:","Messaggio:"
vUse Different Footer:","Usa Footer Diverso:"
"Delete Contact","Elimina Contatto"
"Edit Contact","Modifica Contatto"
"Delete","Elimina"
"Edit","Modifica"
"Current logo:","Logo Attuale"
"Upload a New Logo(png, jpeg, jpg, gif; max=5 MB):","Carica un Nuovo Logo(png, jpeg, jpg, gif; max=5 MB):"
"Upload New Logo","Carica Nuovo Logo"
"Meta Information","Informazioni Meta"
"Meta Description:","Meta Descrizione:"
"Meta Keywords:","Meta Keywords:"
"Frontend","Pagina Pirncipale"
"Site Title:","Nome Sito"
"Finished Site Url:","Url Sito Finale"
"Use","Usare"
"Site phrase:","Frase Sito:"
"Time Zone:","Fuso Orario:"
